BENE_GEO_DESC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_PYMT_PC,BENE_AVG_RISK_SCRE,IP_CVRD_STAYS_PER_1000_BENES,ER_VISITS_PER_1000_BENES,MA_PRTCPTN_RATE,BENE_DUAL_PCT,BENES_TOTAL_CNT,BENES_FFS_CNT
National,0.714945357529693,0.6838538773591217,0.503968253968254,0.6857217731742953,0.5118956361960516,0.412472701196258,0.28244812673113373,1.0,1.0
OH,0.7065234525251466,0.5960131004594743,0.4927248677248677,0.7859837688207099,0.6488256125638643,0.47510919521496797,0.2508503814568248,0.03797568506519744,0.0345199503487898
OK,0.8477021417447538,0.6632981034539026,0.513227513227513,0.7554475756914154,0.6471503181970404,0.25082303856057886,0.2166771951989892,0.011776043110115193,0.015067692560535886
OR,0.3659162549448317,0.3960579693234142,0.28042328042328046,0.2727274902871508,0.38315782401683696,0.490262068515923,0.31326838038777394,0.01354223312721528,0.011341890493537005
PA,0.7017199280025518,0.6689974930900339,0.49404761904761907,0.7604068958805394,0.43951756760310423,0.48281805143583556,0.2547985810777976,0.04442789682839434,0.040011009808297957
PR,0.41348006714561436,0.17759772453688305,1.0000000000000002,0.40538430425825567,0.026976491683292858,0.9999999999999999,0.2813877197441752,0.011968443773877097,0.0011079762560006472
RI,0.5488748791028123,0.5843067075146663,0.39814814814814836,0.7462800189538168,0.45270652791888644,0.5133764138335669,0.20247582487001314,0.0032826654793065907,0.0024293198095224977
SC,0.674437565029865,0.5336257695768712,0.42328042328042303,0.5519549835810906,0.49024797480969884,0.35190602692395456,0.010180280868846925,0.01702380870730198,0.020124311578934486
SD,0.5679604663385999,0.5049684778913527,0.29894179894179906,0.5461881052978357,0.21066206598572412,0.2158153785977379,0.22676028961562755,0.002526017880285401,0.0032219206336945175
TN,0.7268698891382136,0.5356112094890572,0.5105820105820107,0.7280553589551853,0.5005502718728152,0.46928680856612015,0.16623742650274553,0.021803743973255373,0.021538516186143258
TX,1.0,0.8807201399003176,0.6785714285714286,0.7800510262334779,0.5573046218503093,0.44574872062322757,0.11635647990670084,0.06705652758056707,0.06462954960825358
Territory,0.6311841373277457,0.5902649649452717,0.44390554575739727,0.6029716542727941,0.4863116006243984,0.35058862196725227,0.2813877197441752,0.03657091741584386,0.036514572326912374
UT,0.5740530206089481,0.48327186019295165,0.373015873015873,0.31616925170755983,0.3068276207535521,0.4451701489618306,0.0,0.006140639829405382,0.00573279936272959
VA,0.6113010918874046,0.5218676686566596,0.4470899470899472,0.6267490665965327,0.5764532375306508,0.2849098732031683,0.04477865785509494,0.02418592137720797,0.03011854239179842
VI,0.0,0.0,0.0,0.0,0.0,0.0524096287362691,0.2813877197441752,0.0,0.0
VT,0.3528277537855412,0.4232509009017139,0.13624338624338628,0.3423276008388083,0.49522840195264894,0.11710371915642623,0.46627630108362894,0.002064267987225329,0.0030080604611491682
WA,0.40509821068241003,0.4229050916209224,0.30026455026455023,0.3115220853158198,0.39834746563821066,0.37591267642361226,0.23978327421157497,0.02163395793041973,0.02267902899201364
WI,0.5207986557492738,0.4581901750066185,0.4021164021164021,0.5009787200741134,0.5221769809593484,0.44249731086410904,0.3697458574274747,0.01873633132345188,0.01749993222968418
WV,0.5985911174112916,0.46208085868800597,0.41798941798941813,0.7236853080635415,0.6602960430435965,0.34891538185729654,0.3998129160794984,0.006876018303877441,0.007614973509242129
WY,0.4576920883060923,0.4796234234982212,0.16534391534391557,0.38945875382869577,0.4185937498165162,0.03662929039408064,0.057400748335681984,0.0014515335461594238,0.0024096320016614983
